"","osm_id","name","addr:city","addr:street","amenity","description","designation","operator","short_name","townhall:type","geometry"
"3692657716","3692657716",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.3805711, 9.9795517)
"3692657717","3692657717",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.3803101, 9.9795508)
"3692657719","3692657719",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.380572, 9.9792871)
"3713186018","3713186018",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1855169, 9.9792448)
"3713186021","3713186021",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1851534, 9.9790995)
"3713186022","3713186022",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1854979, 9.9791498)
"3713186024","3713186024",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1852922, 9.9790711)
"3713186225","3713186225",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1853198, 9.9791876)
"3720330823","3720330823",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.6818601, 10.2091173)
"3720330824","3720330824",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.6815074, 10.2090791)
"3720332025","3720332025",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.681553, 10.2087332)
"3720332026","3720332026",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-83.6819017, 10.2087623)
"3728643536","3728643536",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-82.941846, 8.6489598)
"3728643537","3728643537",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-82.9419355, 8.6489529)
"3819630361","3819630361",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0526893, 9.9333831)
"3819630363","3819630363",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0525504, 9.93306)
"3819630365","3819630365",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0528267, 9.9331578)
